fixIdx,tickLead,togo,area
1479,4854.91834042907,153.957,180953.65729029622
1480,4859.91834042907,153.857,149595.09040407487
1481,4864.91834042907,153.741,173586.94159477713
1482,4869.91834042907,153.62,181115.5794949609
1483,4874.91834042907,153.508,167689.0790466337
1484,4879.91834042907,153.354,230609.07127422933
1485,4884.91834042907,153.234,179718.88129866295
1486,4889.91834042907,153.124,164787.21632310902
1487,4894.91834042907,153.009,172327.04417572945
1488,4899.91834042907,152.905,155891.1763961554
1489,4904.91834042907,152.804,151447.24577435592
1490,4909.91834042907,152.701,154500.4740670696
1491,4914.91834042907,152.589,168053.2470567463
1492,4919.91834042907,152.476,169601.12240309766
1493,4924.91834042907,152.376,150137.12059163974
1494,4929.91834042907,152.262,171209.81282665243
1495,4934.91834042907,152.138,186271.45371049232
1496,4939.91834042907,152.018,180300.69633019212
1497,4944.91834042907,151.911,160810.73723284353
1498,4949.91834042907,151.799,168374.04630722397
1499,4954.91834042907,151.691,162406.96205078255
1500,4959.91834042907,151.579,168469.77673140762
1501,4964.91834042907,151.465,171523.11334550302
1502,4969.91834042907,151.356,164044.5249526241
1503,4974.91834042907,151.229,191177.6295868903
1504,4979.91834042907,151.101,192714.07511834742
1505,4984.91834042907,150.971,195754.55288090484
1506,4989.91834042907,150.854,176211.60606268575
1507,4994.91834042907,150.746,162698.47611913417
1508,4999.91834042907,150.628,177807.7560115948
1509,5004.91834042907,150.5,192911.49440211954
1510,5009.91834042907,150.388,168831.52267687456
1511,5014.91834042907,150.272,174903.1003950958
1512,5020.91834042907,150.151,182516.3214209646
1513,5025.91834042907,150.026,188583.1362093721
1514,5030.91834042907,149.896,196154.8017647978
1515,5035.91834042907,149.769,191654.23562452552
1516,5040.91834042907,149.634,203750.91997375962
1517,5045.91834042907,149.501,200751.63410761708
1518,5050.91834042907,149.392,164555.57077233278
1519,5055.91834042907,149.286,160069.70727675516
1520,5060.91834042907,149.175,167664.02911709575
1521,5065.91834042907,149.056,179786.85321755538
1522,5070.91834042907,148.944,169246.9705301957
1523,5075.91834042907,148.831,170797.4189718024
1524,5080.91834042907,148.721,166302.11554342622
1525,5085.91834042907,148.618,155760.9129627715
1526,5090.91834042907,148.505,170927.06909715294
1527,5095.91834042907,148.381,187600.44473965425
1528,5100.91834042907,148.264,177039.94476828523
1529,5105.91834042907,148.162,154379.74889796865
1530,5110.91834042907,148.053,165018.44370692488
1531,5115.91834042907,147.941,169599.48692477183
1532,5120.91834042907,147.824,177206.84431595466
1533,5125.91834042907,147.702,184810.7415038056
1534,5130.91834042907,147.604,148488.7152009741
1535,5135.91834042907,147.528,115198.81272524402
1538,5150.91834042907,147.526,3039.598120005236
1539,5155.91834042907,147.461,98860.37742672629
1542,5170.91834042907,147.454,10674.869676581102
1543,5175.91834042907,147.372,125131.61465208825
1544,5180.91834042907,147.279,141970.3376031233
1545,5185.91834042907,147.202,117590.89024820497
1548,5200.91834042907,147.16,64300.01443006847
1552,5220.91834042907,147.088,110609.62414809344
1553,5225.91834042907,146.986,156754.28442442644
1554,5230.91834042907,146.92,101468.28686030548
1556,5240.91834042907,146.897,35417.03079268055
1557,5245.91834042907,146.843,83210.54687915543
1559,5255.91834042907,146.83,20065.776988218942
1560,5260.91834042907,146.762,105030.32054343971
1562,5270.91834042907,146.756,9282.65645667671
1563,5275.91834042907,146.684,111467.91440272068
1566,5290.91834042907,146.617,103972.71989114578
1569,5305.91834042907,146.561,87112.3975237514
1570,5310.91834042907,146.463,152510.20050703752
1571,5315.91834042907,146.36,160332.18508851374
1572,5320.91834042907,146.241,185271.81725201814
1573,5325.91834042907,146.108,207084.5778205263
1574,5330.91834042907,145.978,202421.2598697264
1575,5335.91834042907,145.864,177525.9391550618
1576,5340.91834042907,145.744,186894.5418499079
1577,5345.91834042907,145.61,208712.32874906616
1578,5350.91834042907,145.47,218056.34347451615
1579,5355.91834042907,145.344,196254.5805679534
1580,5361.91834042907,145.214,202533.27499058357
1581,5366.91834042907,145.071,222784.83233455877
1582,5371.91834042907,144.94,204086.91868722928
1583,5376.91834042907,144.829,172945.13181522922
1584,5381.91834042907,144.743,134026.94576004634
1585,5386.91834042907,144.659,130954.73509078067
1586,5391.91834042907,144.546,176208.78103174747
1587,5396.91834042907,144.432,177793.33617258506
1588,5401.91834042907,144.308,193408.98780031325
1589,5406.91834042907,144.178,202776.63176640557
1590,5411.91834042907,144.045,207458.63219786913
1591,5416.91834042907,143.911,209017.77444328184
1592,5421.91834042907,143.809,159119.42318064772
1593,5426.91834042907,143.7,170071.37730010177
1594,5431.91834042907,143.576,193497.0118724651
1595,5436.91834042907,143.442,209106.11938323663
1596,5441.91834042907,143.295,229378.70285943357
1597,5446.91834042907,143.153,221556.7587986437
1598,5451.91834042907,143.016,213743.29268002845
1599,5456.91834042907,142.894,190342.87777085084
1600,5461.91834042907,142.777,182556.4658847885
1601,5466.91834042907,142.651,196611.85757703366
1602,5471.91834042907,142.527,193498.37033241018
1603,5476.91834042907,142.398,201305.91360091654
1604,5481.91834042907,142.267,204426.84725354993
1605,5486.91834042907,142.127,218462.5316310966
1606,5491.91834042907,141.979,230922.4688998333
1607,5496.91834042907,141.851,199704.36256821218
1608,5501.91834042907,141.717,209062.50931445629
1609,5506.91834042907,141.579,215292.13546749493
1610,5511.91834042907,141.452,198125.55749588236
