fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo
956,,,,1087.0,3539.107668183208,-4369.66759380786,196,2,126.873
957,,,,1085.0,3541.107668183208,-4367.66759380786,197,2,126.833
958,,,,1081.0,3543.107668183208,-4365.66759380786,198,2,126.794
959,,,,1072.0,3545.107668183208,-4363.66759380786,199,2,126.754
960,,,,1067.0,3547.107668183208,-4361.66759380786,200,2,126.713
961,,,,1066.0,3549.107668183208,-4359.66759380786,201,2,126.667
962,,,,1060.0,3551.107668183208,-4357.66759380786,202,2,126.623
963,,,,1057.0,3553.107668183208,-4355.66759380786,203,2,126.575
964,,,,1056.0,3555.107668183208,-4353.66759380786,204,2,126.525
965,,,,1055.0,3557.107668183208,-4351.66759380786,205,2,126.474
966,,,,1055.0,3559.107668183208,-4349.66759380786,206,2,126.422
967,,,,1056.0,3561.107668183208,-4347.66759380786,207,2,126.371
968,,,,1062.0,3563.107668183208,-4345.66759380786,208,2,126.323
969,,,,1065.0,3565.107668183208,-4343.66759380786,209,2,126.277
970,,,,1066.0,3567.107668183208,-4341.66759380786,210,2,126.227
971,,,,1067.0,3569.107668183208,-4339.66759380786,211,2,126.179
972,,,,1073.0,3571.107668183208,-4337.66759380786,212,2,126.137
973,,,,1077.0,3573.107668183208,-4335.66759380786,213,2,126.102
974,,,,1074.0,3575.107668183208,-4333.66759380786,214,2,126.069
975,,,,1067.0,3577.107668183208,-4331.66759380786,215,2,126.026
976,,,,1064.0,3579.107668183208,-4329.66759380786,216,2,125.98
977,,,,1068.0,3581.107668183208,-4327.66759380786,217,2,125.93
978,,,,1075.0,3583.107668183208,-4325.66759380786,218,2,125.882
979,,,,1081.0,3585.107668183208,-4323.66759380786,219,2,125.838
980,,,,1085.0,3587.107668183208,-4321.66759380786,220,2,125.794
981,,,,1089.0,3589.107668183208,-4319.66759380786,221,2,125.747
982,,,,1092.0,3591.107668183208,-4317.66759380786,222,2,125.708
983,,,,1091.0,3593.107668183208,-4315.66759380786,223,2,125.671
984,,,,1090.0,3595.107668183208,-4313.66759380786,224,2,125.644
985,,,,1090.0,3597.107668183208,-4311.66759380786,225,2,125.63
986,,,,1092.0,3599.107668183208,-4309.66759380786,226,2,125.625
987,,,,1091.0,3601.107668183208,-4307.66759380786,227,2,125.62
996,,,,1082.0,3619.107668183208,-4289.66759380786,236,2,125.605
997,,,,1087.0,3621.107668183208,-4287.66759380786,237,2,125.558
998,,,,1094.0,3623.107668183208,-4285.66759380786,238,2,125.511
999,,,,1101.0,3625.107668183208,-4283.66759380786,239,2,125.469
1000,,,,1104.0,3627.107668183208,-4281.66759380786,240,2,125.431
1001,,,,1106.0,3629.107668183208,-4279.66759380786,241,2,125.387
1002,,,,1106.0,3631.107668183208,-4277.66759380786,242,2,125.342
1003,,,,1102.0,3633.107668183208,-4275.66759380786,243,2,125.303
1004,,,,1097.0,3635.107668183208,-4273.66759380786,244,2,125.268
1005,,,,1095.0,3637.107668183208,-4271.66759380786,245,2,125.247
1006,,,,1090.0,3639.107668183208,-4269.66759380786,246,2,125.24
1008,,,,1082.0,3643.107668183208,-4265.66759380786,248,2,125.222
1010,,,,1087.0,3647.107668183208,-4261.66759380786,250,2,125.22
1011,,,,1084.0,3649.107668183208,-4259.66759380786,251,2,125.211
1012,,,,1085.0,3651.107668183208,-4257.66759380786,252,2,125.199
1013,,,,1092.0,3653.107668183208,-4255.66759380786,253,2,125.187
1014,,,,1098.0,3655.107668183208,-4253.66759380786,254,2,125.175
1015,,,,1100.0,3657.107668183208,-4251.66759380786,255,2,125.168
1021,,,,1111.0,3669.107668183208,-4239.66759380786,261,2,125.16
1022,,,,1112.0,3671.107668183208,-4237.66759380786,262,2,125.121
1023,,,,1116.0,3673.107668183208,-4235.66759380786,263,2,125.085
1024,,,,1118.0,3675.107668183208,-4233.66759380786,264,2,125.065
1031,,,,1132.0,3689.107668183208,-4219.66759380786,271,2,125.034
1032,,,,1135.0,3691.107668183208,-4217.66759380786,272,2,124.994
1033,,,,1137.0,3693.107668183208,-4215.66759380786,273,2,124.963
1034,,,,1141.0,3695.107668183208,-4213.66759380786,274,2,124.945
1035,,,,1148.0,3697.107668183208,-4211.66759380786,275,2,124.944
1040,,,,1159.0,3707.107668183208,-4201.66759380786,280,2,124.921
1041,,,,1161.0,3709.107668183208,-4199.66759380786,281,2,124.882
1042,,,,1161.0,3711.107668183208,-4197.66759380786,282,2,124.849
1043,,,,1168.0,3713.107668183208,-4195.66759380786,283,2,124.833
1044,,,,1176.0,3715.107668183208,-4193.66759380786,284,2,124.824
1049,,,,1188.0,3725.107668183208,-4183.66759380786,289,2,124.792
1050,,,,1190.0,3727.107668183208,-4181.66759380786,290,2,124.753
1051,,,,1193.0,3729.107668183208,-4179.66759380786,291,2,124.718
1052,,,,1197.0,3731.107668183208,-4177.66759380786,292,2,124.688
1053,,,,1203.0,3733.107668183208,-4175.66759380786,293,2,124.667
1054,,,,1213.0,3735.107668183208,-4173.66759380786,294,2,124.656
1059,,,,1236.0,3745.107668183208,-4163.66759380786,299,2,124.65
1060,,,,1245.0,3747.107668183208,-4161.66759380786,300,2,124.609
1061,,,,1249.0,3749.107668183208,-4159.66759380786,301,2,124.571
1062,,,,1251.0,3751.107668183208,-4157.66759380786,302,2,124.542
1063,,,,1256.0,3753.107668183208,-4155.66759380786,303,2,124.527
1069,,,,1292.0,3765.107668183208,-4143.66759380786,309,2,124.501
1070,,,,1299.0,3767.107668183208,-4141.66759380786,310,2,124.465
1071,,,,1304.0,3769.107668183208,-4139.66759380786,311,2,124.444
1077,,,,1334.0,3781.107668183208,-4127.66759380786,317,2,124.433
1078,,,,1338.0,3783.107668183208,-4125.66759380786,318,2,124.396
1079,,,,1340.0,3785.107668183208,-4123.66759380786,319,2,124.37
1080,,,,1350.0,3787.107668183208,-4121.66759380786,320,2,124.369
1086,,,,1372.0,3800.107668183208,-4108.66759380786,326,2,124.356
1087,,,,1377.0,3802.107668183208,-4106.66759380786,327,2,124.313
1088,,,,1380.0,3804.107668183208,-4104.66759380786,328,2,124.274
1089,,,,1385.0,3806.107668183208,-4102.66759380786,329,2,124.251
1090,,,,1392.0,3808.107668183208,-4100.66759380786,330,2,124.243
1096,,,,1410.0,3820.107668183208,-4088.66759380786,336,2,124.226
1097,,,,1413.0,3822.107668183208,-4086.66759380786,337,2,124.185
1098,,,,1418.0,3824.107668183208,-4084.66759380786,338,2,124.144
1099,,,,1423.0,3826.107668183208,-4082.66759380786,339,2,124.114
1100,,,,1426.0,3828.107668183208,-4080.66759380786,340,2,124.096
1106,,,,1447.0,3840.107668183208,-4068.66759380786,346,2,124.09
